Column1;Season;Episode;Sentence;Name;N_serie;N_Season;Emision Date
1931;Season 1;a golden crown;What message?;mord;6;6;22/05/2011
1932;Season 1;a golden crown;Tell her I wish to confess my crimes;tyrion;6;6;22/05/2011
1933;Season 1;a golden crown;You wish to confess your crimes?;lysa arryn;6;6;22/05/2011
1934;Season 1;a golden crown;Yes, my lady I do, my lady;tyrion;6;6;22/05/2011
1935;Season 1;a golden crown;Skycells always break them Speak, Imp Meet your gods as an honest man;lysa arryn;6;6;22/05/2011
1936;Season 1;a golden crown;Where do I begin, my lords and ladies? I’m a vile man, I confess it My crimes and sins are beyond counting I have lied and cheated, gambled and whored I’m not particularly good at violence, but I’m good at convincing others to do violence for me You want specifics, I suppose When I was seven, I saw a servant girl bathing in the river I stole her robe She was forced to return to the castle, naked and in tears I close my eyes, I can still see her tits bouncing When I was ten, I stuffed my uncle’s boots with goatshit When confronted with my crime, I blamed a squire Poor boy was flogged and I escaped justice When I was twelve, I milked my eel into a pot of turtle stew I flogged the one-eyed snake I skinned my sausage I made the bald man cry into the turtle stew, which I do believe my sister ate At least I hope she did I once brought a jackass and a honeycomb into a brothel;tyrion;6;6;22/05/2011
1937;Season 1;a golden crown;Silence;lysa arryn;6;6;22/05/2011
1938;Season 1;a golden crown;What happened next?;robin arryn;6;6;22/05/2011
1939;Season 1;a golden crown;What do you think you’re doing?;lysa arryn;6;6;22/05/2011
1940;Season 1;a golden crown;Confessing my crimes;tyrion;6;6;22/05/2011
1941;Season 1;a golden crown;"Lord Tyrion, you are accused of hiring a man to slay my son Bran in his bed, and of conspiring to murder my sister’s husband; Lord Jon Arryn, the Hand of the King";catelyn;6;6;22/05/2011
1942;Season 1;a golden crown;Oh, I’m very sorry I don’t know anything about all that;tyrion;6;6;22/05/2011
1943;Season 1;a golden crown;You’ve had your little joke I trust you enjoyed it Mord, take him back to the dungeon But this time find a smaller cell, with a steeper floor;lysa arryn;6;6;22/05/2011
1944;Season 1;a golden crown;Is this how justice is done in the Vale? you accuse me of crimes, I deny them, so you throw me in a cell to freeze and starve? Where is the King’s Justice? I’m accused and demand a trial;tyrion;6;6;22/05/2011
1945;Season 1;a golden crown;If you’re tried and found guilty, then by the king’s own laws you will pay with your life;lysa arryn;6;6;22/05/2011
1946;Season 1;a golden crown;I understand the law;tyrion;6;6;22/05/2011
1947;Season 1;a golden crown;We have no executioner in the Eyrie Life is more elegant here Open the Moon Door;lysa arryn;6;6;22/05/2011
1948;Season 1;a golden crown;You want a trial, my Lord Lannister Very well My son will listen to whatever you have to say, and you will hear his judgement Then you will leave, by one door or the other;lysa arryn;6;6;22/05/2011
1949;Season 1;a golden crown;No need to bother Lord Robin I demand a trial by combat;tyrion;6;6;22/05/2011
1950;Season 1;a golden crown;You have that right;lysa arryn;6;6;22/05/2011
1951;Season 1;a golden crown;My lady, I beg the honor Let me be your champion;knight;6;6;22/05/2011
1952;Season 1;a golden crown;The honor should be mine For the love I bore your lord husband let me avenge his death;knight;6;6;22/05/2011
1953;Season 1;a golden crown;I’ll fight for you, my Lady;knight;6;6;22/05/2011
1954;Season 1;a golden crown;It’ll be my honor;knight;6;6;22/05/2011
1955;Season 1;a golden crown;The honor should be mine;knight;6;6;22/05/2011
1956;Season 1;a golden crown;Make the bad man fly;robin arryn;6;6;22/05/2011
1957;Season 1;a golden crown;You’re quiet Did you want to avenge my husband?;lysa arryn;6;6;22/05/2011
1958;Season 1;a golden crown;With all my heart, my Lady But the Imp is half my size It would be shameful to slaughter such a man and call it justice;ser vardis;6;6;22/05/2011
1959;Season 1;a golden crown;Agreed;tyrion;6;6;22/05/2011
1960;Season 1;a golden crown;You demanded a trial by combat;lysa arryn;6;6;22/05/2011
1961;Season 1;a golden crown;Now I demand a champion I have that right, same as you;tyrion;6;6;22/05/2011
1962;Season 1;a golden crown;My Lady, I would gladly fight the Imp’s champion for you;ser vardis;6;6;22/05/2011
1963;Season 1;a golden crown;I wouldn’t be too glad, ser I name my brother, Jaime Lannister;tyrion;6;6;22/05/2011
1964;Season 1;a golden crown;ingslayer is hundreds of miles from here;lysa arryn;6;6;22/05/2011
1965;Season 1;a golden crown;Send a raven for him, I’m happy to wait;tyrion;6;6;22/05/2011
1966;Season 1;a golden crown;The trial will be today;lysa arryn;6;6;22/05/2011
1967;Season 1;a golden crown;Do I have a volunteer?;tyrion;6;6;22/05/2011
1968;Season 1;a golden crown;Anyone? Anyone?;tyrion;6;6;22/05/2011
1969;Season 1;a golden crown;I think that we can assume that no one is willing;lysa arryn;6;6;22/05/2011
1970;Season 1;a golden crown;I’ll stand for the dwarf -;bronn;6;6;22/05/2011
1971;Season 1;a golden crown;More wine, your Grace?;lancel;6;6;22/05/2011
1972;Season 1;a golden crown;Oh, what was I saying?;robert;6;6;22/05/2011
1973;Season 1;a golden crown;A simpler time;renly;6;6;22/05/2011
1974;Season 1;a golden crown;It was! It was You’re too young to remember Wasn’t it, Selmy?;robert;6;6;22/05/2011
1975;Season 1;a golden crown;It was, your Grace;barriston;6;6;22/05/2011
1976;Season 1;a golden crown;The enemy was right there in the open, vicious as you like, all but sending you a bloody invitation Nothing like today;robert;6;6;22/05/2011
1977;Season 1;a golden crown;Sounds exhilarating;renly;6;6;22/05/2011
1978;Season 1;a golden crown;Exhilarating, yes Not as exhilarating as those balls and masquerades you like to throw You ever fucked a Riverlands girl?;robert;6;6;22/05/2011
1979;Season 1;a golden crown;Once, I think;renly;6;6;22/05/2011
1980;Season 1;a golden crown;You think? I think you’d remember Back in our day, you weren’t a real man until you fucked a girl from each of the Seven Kingdoms and the Riverlands We called it making the eight;robert;6;6;22/05/2011
1981;Season 1;a golden crown;Those were some lucky girls;renly;6;6;22/05/2011
1982;Season 1;a golden crown;You ever make the eight, Barristan?;robert;6;6;22/05/2011
1983;Season 1;a golden crown;I don’t believe so, your Grace;barristan selmy;6;6;22/05/2011
1984;Season 1;a golden crown;Those were the days;robert;6;6;22/05/2011
1985;Season 1;a golden crown;What days were those? The ones where half of Westeros fought the other half and millions died? Or before that, when the Mad King slaughtered women and babies because the voices in his head told him they deserved it? Or way before that when dragons burned whole cities to the ground?;renly;6;6;22/05/2011
1986;Season 1;a golden crown;Easy, boy You might be my brother, but you’re speaking to the King;robert;6;6;22/05/2011
1987;Season 1;a golden crown;I suppose it was all rather heroic If you were drunk enough and had some poor Riverlands whore to shove your price inside and make the eight;renly;6;6;22/05/2011
1988;Season 1;a golden crown;More wine, your Grace? -;lancel;6;6;22/05/2011
1989;Season 1;a golden crown;They burned most everything in the Riverlands, our fields, our granaries, our homes They took our women and then they took em again When they was done, they butchered them as if they was animals They covered our children in pitch and lit them on fire;man;6;6;22/05/2011
1990;Season 1;a golden crown;Brigands, most likely;grand maester pycelle;6;6;22/05/2011
1991;Season 1;a golden crown;They weren’t thieves, they didn’t steal nothing They even left something behind, your Grace;man;6;6;22/05/2011
1992;Season 1;a golden crown;It’s the King’s Hand you’re addressing, not the king The king is hunting;grand maester pycelle;6;6;22/05/2011
1993;Season 1;a golden crown;Fish The sigil of House Tully Isn’t that your wife’s House Tully my Lord Hand?;littlefinger;6;6;22/05/2011
1994;Season 1;a golden crown;These men, were they flying a sigil? A banner;ned;6;6;22/05/2011
1995;Season 1;a golden crown;None, your Hand The one who was leading them Taller by a foot than any man I’ve ever met, saw him cut the blacksmith, saw him take the head off a horse with a single swing of his sword;man;6;6;22/05/2011
1996;Season 1;a golden crown;That sounds like someone we know The Mountain;littlefinger;6;6;22/05/2011
1997;Season 1;a golden crown;You’re describing Ser Gregor Clegane;ned;6;6;22/05/2011
1998;Season 1;a golden crown;Why should Ser Gregor turn brigand? The man is an anointed knight;grand maester pycelle;6;6;22/05/2011
1999;Season 1;a golden crown;I’ve heard him called Tywin Lannister’s mad dog.” I’m sure you have as well Can you think of any reason the Lannisters might possibly have for being angry with your wife?;littlefinger;6;6;22/05/2011
2000;Season 1;a golden crown;If the Lannisters were to order attacks on villages under the king’s protection, it would be;grand maester pycelle;6;6;22/05/2011
2001;Season 1;a golden crown;It would be almost as brazen as attacking the Hand of the King in the streets of the capital;littlefinger;6;6;22/05/2011
2002;Season 1;a golden crown;Wel;grand maester pycelle;6;6;22/05/2011
2003;Season 1;a golden crown;I cannot give you back your homes or restore your dead to life But perhaps I can give you justice in the name of our king, Robert Lord Beric Dondarrion;ned;6;6;22/05/2011
2004;Season 1;a golden crown;You shall have the command Assemble 100 men and ride to Ser Gregor’s keep;ned;6;6;22/05/2011
2005;Season 1;a golden crown;As you command;beric dondarrion;6;6;22/05/2011
2006;Season 1;a golden crown;In the name of Robert of the House Baratheon, the First of his Name, King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm, I charge you to bring the king’s justice to the false knight Gregor Clegane and all those who shared in his crimes I denounce him and attaint him I strip him of all ranks and titles of all lands and holdings, and sentence him to death;ned;6;6;22/05/2011
2007;Season 1;a golden crown;My lord This This is a drastic action It would be better to wait for King Robert’s return;grand maester pycelle;6;6;22/05/2011
2008;Season 1;a golden crown;My Lord;grand maester pycelle;6;6;22/05/2011
2009;Season 1;a golden crown;Send a raven to Casterly Rock Inform Tywin Lannister that he has been summoned to court to answer for the crimes of his bannermen He will arrive within the fortnight, or be branded an enemy of the crown and a traitor to the realm;ned;6;6;22/05/2011
2010;Season 1;a golden crown;A bold move, my Lord, and admirable But is it wise to yank the lion’s tail? Tywin Lannister is the richest man in all the Seven Kingdoms Gold wins wars, not soldiers;littlefinger;6;6;22/05/2011
2011;Season 1;a golden crown;Then how come Robert is king and not Tywin Lannister? -;ned;6;6;22/05/2011
2012;Season 1;a golden crown;Is it over?;robin arryn;6;6;22/05/2011
2013;Season 1;a golden crown;You don’t fight with honor;lysa arryn;6;6;22/05/2011
2014;Season 1;a golden crown;No;bronn;6;6;22/05/2011
2015;Season 1;a golden crown;Can I make the little man fly now?;robin arryn;6;6;22/05/2011
2016;Season 1;a golden crown;Not this little man This little man is going home I believe you have something of mine;tyrion;6;6;22/05/2011
2017;Season 1;a golden crown;A Lannister always pays his debts -;tyrion;6;6;22/05/2011
2018;Season 1;a golden crown;You wear your hair like a real southern lady now;mordane;6;6;22/05/2011
2019;Season 1;a golden crown;Well, why shouldn’t I? We’re in the south;sansa;6;6;22/05/2011
2020;Season 1;a golden crown;It’s important to remember where you come from I’m not sure your mother would like these new styles;mordane;6;6;22/05/2011
2021;Season 1;a golden crown;My mother isn’t from the North;sansa;6;6;22/05/2011
2022;Season 1;a golden crown;I’m aware of that;mordane;6;6;22/05/2011
2023;Season 1;a golden crown;Why do you care? Do you even have hair under there?;sansa;6;6;22/05/2011
2024;Season 1;a golden crown;Yes I have hair;mordane;6;6;22/05/2011
2025;Season 1;a golden crown;I’ve never seen it;sansa;6;6;22/05/2011
2026;Season 1;a golden crown;Would you like to?;mordane;6;6;22/05/2011
2027;Season 1;a golden crown;No Where are you from anyway, the north or the south?;sansa;6;6;22/05/2011
2028;Season 1;a golden crown;I come from a very small village in;mordane;6;6;22/05/2011
2029;Season 1;a golden crown;Oh, wait I just realized I don’t care;sansa;6;6;22/05/2011
2030;Season 1;a golden crown;Sansa;mordane;6;6;22/05/2011
2031;Season 1;a golden crown;Septa;sansa;6;6;22/05/2011
2032;Season 1;a golden crown;Now you are being rude;mordane;6;6;22/05/2011
2033;Season 1;a golden crown;My prince;mordane;6;6;22/05/2011
2034;Season 1;a golden crown;My prince;sansa;6;6;22/05/2011
2035;Season 1;a golden crown;My lady I fear I have behaved monstrously the past few weeks With your permission?;joffrey;6;6;22/05/2011
2036;Season 1;a golden crown;It’s beautiful Like the one your mother wears;sansa;6;6;22/05/2011
2037;Season 1;a golden crown;You’ll be queen one day, it’s only fitting that you should look the part Will you forgive me for my rudeness?;joffrey;6;6;22/05/2011
2038;Season 1;a golden crown;There’s nothing to forgive;sansa;6;6;22/05/2011
2039;Season 1;a golden crown;You’re my lady One day we’ll be married in the throne room Lords and ladies from all over the Seven Kingdoms will come, from the last hearth in the North, to the salt shore of the south And you will be queen over all of them I’ll never disrespect you again I’ll never be cruel to you again Do you understand me? You’re my lady now, from this day, until my last day -;joffrey;6;6;22/05/2011
2040;Season 1;a golden crown;Stop! Stop! What are you doing?;theon;6;6;22/05/2011
2041;Season 1;a golden crown;Going to King’s Landing;ros;6;6;22/05/2011
2042;Season 1;a golden crown;In a turnip cart?;theon;6;6;22/05/2011
2043;Season 1;a golden crown;I’ll find a ship heading south in White Harbor;ros;6;6;22/05/2011
2044;Season 1;a golden crown;And you can afford that?;theon;6;6;22/05/2011
2045;Season 1;a golden crown;Some of my friends are more generous than others;ros;6;6;22/05/2011
2046;Season 1;a golden crown;There’s a thousand girls like you in King’s Landing;theon;6;6;22/05/2011
2047;Season 1;a golden crown;I’ll have lots of company;ros;6;6;22/05/2011
2048;Season 1;a golden crown;Yes, you’ll be very popular until some fat lord comes to visit with a big belly and a little prick and he can’t get it up so he knocks all your teeth out;theon;6;6;22/05/2011
2049;Season 1;a golden crown;And what will happen to me if I stay here? Will I become Lady Greyjoy, Mistress of the Iron Islands?;ros;6;6;22/05/2011
2050;Season 1;a golden crown;Don’t be a fool;theon;6;6;22/05/2011
2051;Season 1;a golden crown;I hear Jaime Lannister attacked Lord Stark in the streets of King’s Landing Every man for a hundred miles will be marching off to war soon and most of them will never come back, there’s nothing more for me here Let’s go, Steffon;ros;6;6;22/05/2011
2052;Season 1;a golden crown;Let me see it one more time?;theon;6;6;22/05/2011
2053;Season 1;a golden crown;See what?;ros;6;6;22/05/2011
2054;Season 1;a golden crown;I’m going to miss you;theon;6;6;22/05/2011
2055;Season 1;a golden crown;I know -;ros;6;6;22/05/2011
2056;Season 1;a golden crown;I’m sending you both back to Winterfell;ned;6;6;22/05/2011
2057;Season 1;a golden crown;What?;sansa;6;6;22/05/2011
2058;Season 1;a golden crown;Listen;ned;6;6;22/05/2011
2059;Season 1;a golden crown;What about Joffrey?;sansa;6;6;22/05/2011
2060;Season 1;a golden crown;Are you dying because of your leg? Is that why you’re sending us home?;arya;6;6;22/05/2011
2061;Season 1;a golden crown;What? No;ned;6;6;22/05/2011
2062;Season 1;a golden crown;Please, Father Please don’t;sansa;6;6;22/05/2011
2063;Season 1;a golden crown;You can’t I’ve got my lessons with Syrio I’m finally getting good;arya;6;6;22/05/2011
2064;Season 1;a golden crown;This isn’t a punishment I want you back in Winterfell for your own safety;ned;6;6;22/05/2011
2065;Season 1;a golden crown;Can’t we take Syrio back with us?;arya;6;6;22/05/2011
2066;Season 1;a golden crown;Who cares about your stupid dancing teacher? I can’t go I’m supposed to marry Prince Joffrey I love him and I’m meant to be his queen and have his babies;sansa;6;6;22/05/2011
2067;Season 1;a golden crown;Seven hells;arya;6;6;22/05/2011
2068;Season 1;a golden crown;When you’re old enough, I’ll make you a match with someone who’s worthy of you, someone who’s brave and gentle and strong;ned;6;6;22/05/2011
2069;Season 1;a golden crown;I don’t want someone brave and gentle and strong I want him! He’ll be the greatest king that ever was, a golden lion, and I’ll give him sons with beautiful blond hair;sansa;6;6;22/05/2011
2070;Season 1;a golden crown;The lion’s not his sigil, idiot He’s a stag, like his father;arya;6;6;22/05/2011
2071;Season 1;a golden crown;He is not He’s nothing like that old drunk king;sansa;6;6;22/05/2011
2072;Season 1;a golden crown;Go on, girls Get your septa and start packing your things;ned;6;6;22/05/2011
2073;Season 1;a golden crown;Wait;sansa;6;6;22/05/2011
2074;Season 1;a golden crown;Come on;arya;6;6;22/05/2011
2075;Season 1;a golden crown;It’s not fair;sansa;6;6;22/05/2011
2076;Season 1;a golden crown;Lord Orys Baratheon, black of hair.” Axel Baratheon, black of hair.” Lyonel Baratheon, black of hair.” Steffon Baratheon, black of hair.” Robert Baratheon, black of hair.” Joffrey Baratheon golden-haired.” -;ned;6;6;22/05/2011
2077;Season 1;a golden crown;Daenerys! Where’s my sister?;viserys;6;6;22/05/2011
2078;Season 1;a golden crown;Stop him;daenerys;6;6;22/05/2011
2079;Season 1;a golden crown;Where is she? I’m here for the feast The whore’s feast;viserys;6;6;22/05/2011
2080;Season 1;a golden crown;Come;jorah;6;6;22/05/2011
2081;Season 1;a golden crown;Get your hands off me! No one touches the dragon;viserys;6;6;22/05/2011
2082;Season 1;a golden crown;! I’m here for the feast;viserys;6;6;22/05/2011
2083;Season 1;a golden crown;Khal Drogo says there is a place for you Back there;jorah;6;6;22/05/2011
2084;Season 1;a golden crown;That is no place for a king;viserys;6;6;22/05/2011
2085;Season 1;a golden crown;You are no king;khal drogo;6;6;22/05/2011
2086;Season 1;a golden crown;Keep away from me;viserys;6;6;22/05/2011
2087;Season 1;a golden crown;Viserys, please;daenerys;6;6;22/05/2011
2088;Season 1;a golden crown;There she is;viserys;6;6;22/05/2011
2089;Season 1;a golden crown;Put the sword down They’ll kill us all;jorah;6;6;22/05/2011
2090;Season 1;a golden crown;They can’t kill us They can’t shed blood in their sacred city But I can I want what I came for I want the crown he promised me He bought you But he never paid for you;viserys;6;6;22/05/2011
2091;Season 1;a golden crown;Tell him I want what was bargained for or I’m taking you back He can keep the baby I’ll cut it out and leave it for him;viserys;6;6;22/05/2011
2092;Season 1;a golden crown;What’s he saying?;viserys;6;6;22/05/2011
2093;Season 1;a golden crown;He says yes You shall have a golden crown, that men shall tremble to behold;daenerys;6;6;22/05/2011
2094;Season 1;a golden crown;That was all I wanted W-what was promised;viserys;6;6;22/05/2011
2095;Season 1;a golden crown;No! You cannot touch me! I am the dragon! I am the dragon! I want my crown! Ahh;viserys;6;6;22/05/2011
2096;Season 1;a golden crown;Look away Khaleesi;jorah;6;6;22/05/2011
2097;Season 1;a golden crown;No;daenerys;6;6;22/05/2011
2098;Season 1;a golden crown;No Dany! Dany, tell them, make them! You can’t;viserys;6;6;22/05/2011
2099;Season 1;a golden crown;Dany please;viserys;6;6;22/05/2011
2100;Season 1;a golden crown;A crown for a king;khal drogo;6;6;22/05/2011
2101;Season 1;a golden crown;Khaleesi;jorah;6;6;22/05/2011
2102;Season 1;a golden crown;He was no dragon Fire cannot kill a dragon;daenerys;6;6;22/05/2011
2103;Season 1;you win or you die;Summoned to court to answer for the crimes of your bannerman Gregor Clegane, the Mountain Uh, arrive within the fortnight or be branded an enemy of the Crown Poor Ned Stark Brave man, terrible judgment;jaime;7;7;29/05/2011
2104;Season 1;you win or you die;Attacking him was stupid;tywin;7;7;29/05/2011
2105;Season 1;you win or you die;Lannisters dont act like fools Are you gonna say something clever? Go on, say something clever;tywin;7;7;29/05/2011
2106;Season 1;you win or you die;Catelyn Stark took my brother;jaime;7;7;29/05/2011
2107;Season 1;you win or you die;Why is he still alive?;tywin;7;7;29/05/2011
2108;Season 1;you win or you die;Tyrion?;jaime;7;7;29/05/2011
2109;Season 1;you win or you die;Ned Stark;tywin;7;7;29/05/2011
2110;Season 1;you win or you die;One of our men interfered, speared him through the leg before I could finish him;jaime;7;7;29/05/2011
2111;Season 1;you win or you die;Why is he still alive?;tywin;7;7;29/05/2011
2112;Season 1;you win or you die;It wouldnt have been clean;jaime;7;7;29/05/2011
2113;Season 1;you win or you die;Clean.;tywin;7;7;29/05/2011
2114;Season 1;you win or you die;You spend too much time worrying about what other people think of you;tywin;7;7;29/05/2011
2115;Season 1;you win or you die;I could care less what anyone thinks of me;jaime;7;7;29/05/2011
2116;Season 1;you win or you die;Now thats what you want people to think of you;tywin;7;7;29/05/2011
2117;Season 1;you win or you die;Its the truth;jaime;7;7;29/05/2011
2118;Season 1;you win or you die;When you hear them whispering Kingslayer behind your back, doesnt it bother you?;tywin;7;7;29/05/2011
2119;Season 1;you win or you die;Of course it bothers me;jaime;7;7;29/05/2011
2120;Season 1;you win or you die;The lion doesnt concern himself with the opinions of the sheep I suppose I should be grateful that your vanity got in the way of your recklessness Im giving you half of our forces 30,000 men You will bring them to Catelyn Starks girlhood home and remind her that Lannisters pay their debts;tywin;7;7;29/05/2011
2121;Season 1;you win or you die;I didnt realize you placed such a high value on my brothers life;jaime;7;7;29/05/2011
2122;Season 1;you win or you die;Hes a Lannister He might be the lowest of the Lannisters, but hes one of us And every day that he remains a prisoner, the less our name commands respect;tywin;7;7;29/05/2011
2123;Season 1;you win or you die;So the lion does concern himself with the opinions of;jaime;7;7;29/05/2011
2124;Season 1;you win or you die;No, its not an opinion, its a fact! If another House can seize one of our own and hold him captive with impunity, we are no longer a House to be feared Your mothers dead Before long Ill be dead And you and your brother and your sister and all of her children All of us dead, all of us rotting in the ground Its the family name that lives on Its all that lives on Not your personal glory, not your honor, but family Do you understand?;tywin;7;7;29/05/2011
2125;Season 1;you win or you die;Hmm Youre blessed with abilities that few men possess You are blessed to belong to the most powerful family in the kingdoms And you are still blessed with youth And what have you done with these blessings, huh? Youve served as a glorified bodyguard for two kings One a madman, the other a drunk The future of our family will be determined in these next few months We could establish a dynasty that will last a thousand years Or we could collapse into nothing, as the Targaryens did I need you to become a man you were always meant to be Not next year Not tomorrow Now;tywin;7;7;29/05/2011
2126;Season 1;you win or you die;Youre in pain;cersei;7;7;29/05/2011
2127;Season 1;you win or you die;Ive had worse, my lady;ned;7;7;29/05/2011
2128;Season 1;you win or you die;Perhaps its time to go home;cersei;7;7;29/05/2011
2129;Season 1;you win or you die;The South doesnt seem to agree with you;ned;7;7;29/05/2011
2130;Season 1;you win or you die;I know the truth Jon Arryn died for;ned;7;7;29/05/2011
2131;Season 1;you win or you die;Do you, Lord Stark? Is that why you called me here, to pose me riddles?;cersei;7;7;29/05/2011
2132;Season 1;you win or you die;Has he done this before?;ned;7;7;29/05/2011
2133;Season 1;you win or you die;Jaime would have killed him;cersei;7;7;29/05/2011
2134;Season 1;you win or you die;My brother is worth a thousand of your friend;cersei;7;7;29/05/2011
2135;Season 1;you win or you die;Your brother Or your lover?;ned;7;7;29/05/2011
2136;Season 1;you win or you die;The Targaryens wed brothers and sisters for 300 years to keep bloodlines pure;cersei;7;7;29/05/2011
2137;Season 1;you win or you die;Jaime and I are more than brother and sister We shared a womb We came into this world together We belong together;cersei;7;7;29/05/2011
2138;Season 1;you win or you die;My son saw you with him;ned;7;7;29/05/2011
2139;Season 1;you win or you die;Do you love your children?;cersei;7;7;29/05/2011
2140;Season 1;you win or you die;With all my heart;ned;7;7;29/05/2011
2141;Season 1;you win or you die;No more than I love mine;cersei;7;7;29/05/2011
2142;Season 1;you win or you die;And they are all Jaimes;ned;7;7;29/05/2011
2143;Season 1;you win or you die;Thank the Gods In the rare event that Robert leaves his whores for long enough to stumble drunk into my bed, I finish him off in other ways In the morning, he doesnt remember;cersei;7;7;29/05/2011
2144;Season 1;you win or you die;Youve always hated him;ned;7;7;29/05/2011
2145;Season 1;you win or you die;Hated him? I worshiped him Every girl in the Seven Kingdoms dreamed of him, but he was mine by oath And when I finally saw him on our wedding day in the Sept of Baelor, lean and fierce and black-bearded, it was the happiest moment of my life Then that night he crawled on top of me, stinking of wine and did what he did, what little he could do, and whispered in my ear, Lyanna Your sister was a corpse and I was a living girl and he loved her more than me;cersei;7;7;29/05/2011
2146;Season 1;you win or you die;When the King returns from his hunt, Ill tell him the truth You must be gone by then You and your children I will not have their blood on my hands Go as far away as you can, with as many men as you can Because wherever you go, Roberts wrath will follow you;ned;7;7;29/05/2011
2147;Season 1;you win or you die;And what of my wrath, Lord Stark? You should have taken the realm for yourself Jaime told me about the day Kings Landing fell He was sitting in the Iron Throne and you made him give it up All you needed to do was climb the steps yourself Such a sad mistake;cersei;7;7;29/05/2011
2148;Season 1;you win or you die;Ive made many mistakes in my life, but that wasnt one of them;ned;7;7;29/05/2011
2149;Season 1;you win or you die;Oh, but it was When you play the Game of Thrones, you win or you die There is no middle ground;cersei;7;7;29/05/2011
2150;Season 1;you win or you die;Come here Oh yes, oh Oh yes yes yes;ros;7;7;29/05/2011
2151;Season 1;you win or you die;No no no no! Is that what they teach you up in the North? And you wherever youre from, do you have any idea how ridiculous you sound? Either of you understand a thing that Im saying?;littlefinger;7;7;29/05/2011
2152;Season 1;you win or you die;Yes, My Lord;ros;7;7;29/05/2011
2153;Season 1;you win or you die;Lets start over, shall we? You be the man and you be the woman Well, go ahead Slowly Youre not fooling them They just paid you They know what you are They know its all just an act Your job is to make them forget what they know That takes time You need to Ease into it Go ahead Ease into it Hes winning you over in spite of yourself Youre starting to like this He wants to believe you Hes enjoyed his cock since he was old enough to play with it Why shouldnt you? He knows hes better than other men Hes always known it deep down inside Now he has proof Hes so good, hes reaching something deep inside of you that no one even knew was there Overcoming your very nature;littlefinger;7;7;29/05/2011
2154;Season 1;you win or you die;Why dont you join us, My Lord?;ros;7;7;29/05/2011
2155;Season 1;you win or you die;Im saving myself for another;littlefinger;7;7;29/05/2011
2156;Season 1;you win or you die;What she doesnt know wont hurt her;ros;7;7;29/05/2011
2157;Season 1;you win or you die;A stupid saying What we dont know is usually what gets us killed;littlefinger;7;7;29/05/2011
2158;Season 1;you win or you die;She must be very beautiful;ros;7;7;29/05/2011
2159;Season 1;you win or you die;No, not really Impeccable bloodlines though;littlefinger;7;7;29/05/2011
2160;Season 1;you win or you die;I do believe my lords in love;ros;7;7;29/05/2011
2161;Season 1;you win or you die;For many years Most of my life really Play with her ass And she loved me too I was her little confidant, her plaything She could tell me anything, anything at all She told me about all the horses that she liked The castle she wanted to live in and the man that she wanted to marry A northerner with a jaw like an anvil So I challenged him to a duel I mean, why not? Id read all the stories The little hero always beats the big villain in all the stories In the end, she wouldnt even let him kill me Hes just a boy , she said Please dont hurt him So he gave me a nice little scar to remember him by, and off they went;littlefinger;7;7;29/05/2011
2162;Season 1;you win or you die;Is she still married to him?;ros;7;7;29/05/2011
2163;Season 1;you win or you die;Oh no He got himself killed before the wedding And she ended up with his brother, an even more impressive specimen She loves him, Im afraid And why wouldnt she? I mean, who could compare to him? Hes just so good Do you know what I learned, losing that duel? I learned that Ill never win Not that way Thats their game, their rules Im not going to fight them Im going to fuck them Thats what I know Thats what I am And only by admitting what we are can we get what we want;littlefinger;7;7;29/05/2011
2164;Season 1;you win or you die;And what do you want?;ros;7;7;29/05/2011
2165;Season 1;you win or you die;Oh, everything, my dear Everything there is Now wash yourselves Both of you are working tonight Hmm;littlefinger;7;7;29/05/2011
2166;Season 1;you win or you die;Youre a very lucky girl Do you know that? Where I come from, we dont show mercy to criminals Where I come from, if someone like you attacked a little lord, at low tide wed lay you on your back on the beach, your hands and feet chained to four stakes The sea would come in closer and closer Youd see death creeping toward you a few inches at a time;sraw theon;7;7;29/05/2011
2167;Season 1;you win or you die;Where is it you come from?;osha;7;7;29/05/2011
2168;Season 1;you win or you die;The Iron Islands;theon;7;7;29/05/2011
2169;Season 1;you win or you die;They far away?;osha;7;7;29/05/2011
2170;Season 1;you win or you die;Youve never heard of the Iron Islands?;theon;7;7;29/05/2011
2171;Season 1;you win or you die;Trust me, youve never heard where Im from neither;osha;7;7;29/05/2011
2172;Season 1;you win or you die;Trust me, My Lord Youre not living in the wilderness anymore In civilized lands, you refer to your betters by their proper titles;theon;7;7;29/05/2011
2173;Season 1;you win or you die;And whats that?;osha;7;7;29/05/2011
2174;Season 1;you win or you die;Lord;theon;7;7;29/05/2011
2175;Season 1;you win or you die;Why?;osha;7;7;29/05/2011
2176;Season 1;you win or you die;Why? What do you mean why? My father is Balon Greyjoy, Lord of the Iron Islands;theon;7;7;29/05/2011
2177;Season 1;you win or you die;Whats that got to do with you? If your fathers lord, how can you be lord too?;osha;7;7;29/05/2011
2178;Season 1;you win or you die;I will be lord after my father;theon;7;7;29/05/2011
2179;Season 1;you win or you die;So youre not lord now?;osha;7;7;29/05/2011
2180;Season 1;you win or you die;No, you You having a go at me? Is that it?;theon;7;7;29/05/2011
2181;Season 1;you win or you die;I just dont understand how you Southerners do things;osha;7;7;29/05/2011
2182;Season 1;you win or you die;Im not a Southerner;theon;7;7;29/05/2011
