Column1;Season;Episode;Sentence;Name;N_serie;N_Season;Emision Date
75;Season 1;winter is coming;The runt of the litter That one’s yours, Snow;theon;1;1;17/04/2011
76;Season 1;winter is coming;As your brother, I feel it’s my duty to warn you You worry too much It’s starting to show;jaime;1;1;17/04/2011
77;Season 1;winter is coming;And you never worry about anything When we were seven, you jumped off the cliffs as Casterly Rock One hundred foot drop into the water And you were never afraid;cersei;1;1;17/04/2011
78;Season 1;winter is coming;There was nothing to be afraid of until you told father We’re Lannisters Lannisters don’t act like fools;jaime;1;1;17/04/2011
79;Season 1;winter is coming;What if Jon Arryn told someone?;cersei;1;1;17/04/2011
80;Season 1;winter is coming;But who would he tell?;jaime;1;1;17/04/2011
81;Season 1;winter is coming;My husband;cersei;1;1;17/04/2011
82;Season 1;winter is coming;If he told the king, both our heads would be skewered on the city gates by now Whatever Jon Arryn knew or didn’t know, it died with him And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores Or is it the other way around? And life will go on;jaime;1;1;17/04/2011
83;Season 1;winter is coming;You should be the Hand of the king;cersei;1;1;17/04/2011
84;Season 1;winter is coming;That’s an honor I can do without Their days are too long, their lives are too short;jaime;1;1;17/04/2011
85;Season 1;winter is coming;All these years and I still feel like an outsider when I come here;catelyn;1;1;17/04/2011
86;Season 1;winter is coming;You have five northern children You’re not an outsider;ned;1;1;17/04/2011
87;Season 1;winter is coming;I wonder if the old gods agree;catelyn;1;1;17/04/2011
88;Season 1;winter is coming;It’s your gods with all the rules;ned;1;1;17/04/2011
89;Season 1;winter is coming;I am so sorry, my love;catelyn;1;1;17/04/2011
90;Season 1;winter is coming;Tell me;ned;1;1;17/04/2011
91;Season 1;winter is coming;There was a raven from Kings Landing Jon Arryn is dead A fever took him I know he was like a father to you;catelyn;1;1;17/04/2011
92;Season 1;winter is coming;Your sister The boy;ned;1;1;17/04/2011
93;Season 1;winter is coming;They both have their health Gods be good The raven brought more news The king rides for Winterfell With the queen and all the rest of them;catelyn;1;1;17/04/2011
94;Season 1;winter is coming;He’s coming this far North, there’s only one thing he’s after;ned;1;1;17/04/2011
95;Season 1;winter is coming;You can always say no, Ned;catelyn;1;1;17/04/2011
96;Season 1;winter is coming;We need plenty of candles for Lord Tyrion’s chamber I’m told he reads all night;catelyn;1;1;17/04/2011
97;Season 1;winter is coming;I’m told he drinks all night;maester luwin;1;1;17/04/2011
98;Season 1;winter is coming;How much could he possibly drink? A man of his stature;catelyn;1;1;17/04/2011
99;Season 1;winter is coming;We’ve brought up eight barrels of ale from the cellar Perhaps we’ll find out;luwin;1;1;17/04/2011
100;Season 1;winter is coming;In any case, candles;catelyn;1;1;17/04/2011
101;Season 1;winter is coming;Why’s your mother so dead-set on us getting pretty for the king?;jon;1;1;17/04/2011
102;Season 1;winter is coming;It’s for the queen, I bet I hear she;theon;1;1;17/04/2011
103;Season 1;winter is coming;I hear the prince is a right royal prick;robb;1;1;17/04/2011
104;Season 1;winter is coming;Think of all those southern girls he gets to stab with his right royal prick;theon;1;1;17/04/2011
105;Season 1;winter is coming;Go on, Tommy, shave him good He’s never met a girl he likes better than his own hair;robb;1;1;17/04/2011
106;Season 1;winter is coming;Gods, but they grow fast Brandon;catelyn;1;1;17/04/2011
107;Season 1;winter is coming;I saw the king! He’s got hundreds of people;bran;1;1;17/04/2011
108;Season 1;winter is coming;How many times have I told you No climbing;catelyn;1;1;17/04/2011
109;Season 1;winter is coming;But he’s coming right now! Down our road;bran;1;1;17/04/2011
110;Season 1;winter is coming;I want you to promise me No more climbing;catelyn;1;1;17/04/2011
111;Season 1;winter is coming;I promise;bran;1;1;17/04/2011
112;Season 1;winter is coming;D’you know what?;catelyn;1;1;17/04/2011
113;Season 1;winter is coming;What?;bran;1;1;17/04/2011
114;Season 1;winter is coming;You always look at your feet before you lie Run and find your father Tell him the king is close;catelyn;1;1;17/04/2011
115;Season 1;winter is coming;Where’s Arya? Sansa, where’s your sister?;catelyn;1;1;17/04/2011
116;Season 1;winter is coming;Hey,, hey, hey, hey What are you doing with that on?;ned;1;1;17/04/2011
117;Season 1;winter is coming;Move;arya;1;1;17/04/2011
118;Season 1;winter is coming;Your Grace;ned;1;1;17/04/2011
119;Season 1;winter is coming;You’ve got fat;robert;1;1;17/04/2011
120;Season 1;winter is coming;Cat;robert;1;1;17/04/2011
121;Season 1;winter is coming;Your Grace;catelyn;1;1;17/04/2011
122;Season 1;winter is coming;Nine years Why haven’t I seen you? Where the hell have you been?;robert;1;1;17/04/2011
123;Season 1;winter is coming;Guarding the North for you, Your Grace Winterfell is yours;ned;1;1;17/04/2011
124;Season 1;winter is coming;Where’s the Imp?;arya;1;1;17/04/2011
125;Season 1;winter is coming;Will you shut up?;sansa;1;1;17/04/2011
126;Season 1;winter is coming;Who have we here? You must be Robb My, you’re a pretty one Your name is?;robert;1;1;17/04/2011
